"Source Row","Tier","Institution","Crawler Hub","Directory"
"5","","HCA HealthCare","https://hcahealthcaregme.com/","DIRECTORY NOT AVAILABLE"
"6","Tier 2","Icahn School of Medicine at Mount Sinai","https://icahn.mssm.edu/","https://icahn.mssm.edu/find-a-faculty"
"7","Tier 1","New York-Presbyterian","https://www.nyp.org/","DIRECTORY NOT AVAILABLE"
"8","Tier 1","Massachusetts General Brigham","https://www.massgeneralbrigham.org/","https://www.massgeneralbrigham.org/en/search/doctors"
"9","","UPMC","https://www.upmc.com/","https://providers.upmc.com/"
"11","Tier 1","UCSF","https://www.ucsf.edu/","https://directory.ucsf.edu/"
"12","Tier 3+","Mayo Clinic","https://www.mayoclinic.org/","https://www.mayoclinic.org/appointments/find-a-doctor"
"13","Tier 2","NYU","https://med.nyu.edu/","DIRECTORY NOT AVAILABLE"
"14","Tier 3+","Rutgers","https://www.rutgers.edu/","https://search.rutgers.edu/people.html"
"15","Tier 1","Baylor College of Medicine","https://www.bcm.edu/","https://www.bcm.edu/resource-links/find-a-person"
"16","Tier 1","Case Western/UHH","https://www.uhhospitals.org/","https://www.uhhospitals.org/doctors"
"17","","Stanford","https://med.stanford.edu/","https://med.stanford.edu/profiles/"
"18","Tier 1","UT Southwestern","https://www.utsouthwestern.edu/","https://utswmed.org/doctors/"
"19","Tier 1","LSU","https://www.lsuhsc.edu/","https://www.lsuhsc.edu/directory/"
"20","Tier 1","Corewell Health","https://corewellhealth.org/","DIRECTORY NOT AVAILABLE"
"21","Tier 1","University of Pennsylvania","https://www.pennmedicine.org/","https://directory.apps.upenn.edu/directory/jsp/fast.do"
"22","","University of Washington","https://www.washington.edu/","https://www.washington.edu/home/peopledir/"
"23","Tier 2","University of Miami","https://graduate.jacksonhealth.org/","DIRECTORY NOT AVAILABLE"
"24","","Cleveland Clinic","https://my.clevelandclinic.org/","https://my.clevelandclinic.org/staff"
"25","Tier 3+","Michigan","https://medicine.umich.edu/","https://mcommunity.umich.edu/"
"26","Tier 3+","UCLA","https://www.uclahealth.org/","https://directory.ucla.edu/"
"27","Tier 1","Indiana University","https://medicine.iu.edu/","https://directory.iu.edu/"
"28","Tier 2","Washington University - STL","https://medicine.wustl.edu/","https://directory.wustl.edu/"
"29","","Albert Einstein/Montefiore Medical Center","https://einsteinmed.edu/","DIRECTORY NOT AVAILABLE"
"30","Tier 2","Yale","https://medicine.yale.edu/","https://directory.yale.edu/"
"31","","University of Tennessee","https://www.uthsc.edu/","DIRECTORY NOT AVAILABLE"
"32","Tier 2","Emory University","https://med.emory.edu/","DIRECTORY NOT AVAILABLE"
"33","","University of Illinois","https://medicine.uic.edu/","DIRECTORY NOT AVAILABLE"
"34","Tier 1","Johns Hopkins University","https://www.hopkinsmedicine.org/","DIRECTORY NOT AVAILABLE"
"35","Tier 3+","University of Colorado","https://medschool.cuanschutz.edu/","DIRECTORY NOT AVAILABLE"
"36","Tier 2","UT Health","https://www.uth.edu/","DIRECTORY NOT AVAILABLE"
"37","Tier 1","Wayne State/DMC","https://www.dmc.org/","DIRECTORY NOT AVAILABLE"
"38","","Northwestern University","https://www.feinberg.northwestern.edu/","DIRECTORY NOT AVAILABLE"
"39","Tier 2","Ohio State University","https://medicine.osu.edu/","https://www.osu.edu/findpeople/"
"40","Tier 3+","University of Alabama","https://www.uab.edu/medicine/","https://www.uab.edu/directory/"
"41","Tier 1","University of Arizona","https://medicine.arizona.edu/","DIRECTORY NOT AVAILABLE"
"42","Tier 1","MedStar","https://www.medstarhealth.org/","https://www.medstarhealth.org/doctors"
"43","Tier 2","Duke University Hospital","https://medschool.duke.edu/","DIRECTORY NOT AVAILABLE"
"44","Tier 3+","Vanderbilt University","https://www.vumc.org/","DIRECTORY NOT AVAILABLE"
"45","Tier 3+","University of Southern California","https://keck.usc.edu/","https://uscdirectory.usc.edu/web/directory/faculty-staff/"
"46","Tier 2","Thomas Jefferson University","https://www.jefferson.edu/","DIRECTORY NOT AVAILABLE"
"47","Tier 3+","Henry Ford","https://www.henryford.com/","https://www.henryford.com/physician-directory"
"48","Tier 1","UAMS","https://medicine.uams.edu/","DIRECTORY NOT AVAILABLE"
"49","Tier 3+","SUNY Downstate","https://www.downstate.edu/","DIRECTORY NOT AVAILABLE"
"50","Tier 2","University of Maryland","https://www.medschool.umaryland.edu/","https://cfapps.umaryland.edu/directory/"
"51","","University of Minnesota","https://med.umn.edu/","DIRECTORY NOT AVAILABLE"
"52","Tier 1","University of Chicago","https://www.uchicagomedicine.org/","https://directory.uchicago.edu/"
"53","Tier 1","University of North Carolina","https://www.med.unc.edu/","https://directory.unc.edu/"
"54","","UC San Diego","https://medschool.ucsd.edu/","DIRECTORY NOT AVAILABLE"
"55","Tier 3+","MCWAH","https://www.mcw.edu/","DIRECTORY NOT AVAILABLE"
"56","Tier 3+","Brown University","https://medical.brown.edu/","DIRECTORY NOT AVAILABLE"
"57","","University of Utah","https://medicine.utah.edu/","https://people.utah.edu/"
"58","","OHSU","https://www.ohsu.edu/","DIRECTORY NOT AVAILABLE"
